balance,transactionCount,code,timestamp,chain
18301490754679625919287,0,0x,1704461058660,RPC_ETH_GOERLI
13342264136936231343741,0,0x,1704461059204,RPC_ETH_MAINNET
77044943692738089148238,0,0x,1704461060020,RPC_POLYGON_MAINNET
870192221947144528363,0,0x,1704461060803,RPC_POLYGON_MUMBAI
